file	TP	FP	FN	P	R	F1
rosetta_v06_00189_Box-the-compass_box-the-compass	7	7	3	0.500	0.700	0.583
rosetta_v06_01615_Y-combinator_y-combinator	14	13	3	0.519	0.824	0.636
rosetta_v06_01563_Verify-distribution-uniformity-Chi-squared-test_verify-distribution-uniformity-chi-squared-test-1	9	19	1	0.321	0.900	0.474
rosetta_v06_00440_Ethiopian-multiplication_ethiopian-multiplication	8	11	6	0.421	0.571	0.485
rosetta_v06_00318_Count-the-coins_count-the-coins-1	9	47	4	0.161	0.692	0.261
rosetta_v06_01590_Word-wheel_word-wheel	8	21	6	0.276	0.571	0.372
rosetta_v06_00696_Increment-a-numerical-string_increment-a-numerical-string	9	24	3	0.273	0.750	0.400
rosetta_v06_00865_Maximum-triangle-path-sum_maximum-triangle-path-sum	7	7	3	0.500	0.700	0.583
rosetta_v06_00326_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-4	7	15	3	0.318	0.700	0.438
rosetta_v06_01554_Variables_variables-1	5	10	1	0.333	0.833	0.476
rosetta_v06_00013_21-game_21-game	10	18	3	0.357	0.769	0.488
rosetta_v06_00919_Multiplication-tables_multiplication-tables	7	11	3	0.389	0.700	0.500
rosetta_v06_01436_Sum-to-100_sum-to-100-1	10	156	6	0.060	0.625	0.110
rosetta_v06_01330_Sorting-algorithms-Cocktail-sort_sorting-algorithms-cocktail-sort-3	11	57	3	0.162	0.786	0.268
rosetta_v06_01466_Terminal-control-Inverse-video_terminal-control-inverse-video	7	6	3	0.538	0.700	0.609
rosetta_v06_01034_Pascals-triangle-Puzzle_pascals-triangle-puzzle-2	8	28	4	0.222	0.667	0.333
rosetta_v06_00061_Anagrams_anagrams-1	10	34	3	0.227	0.769	0.351
rosetta_v06_00864_Matrix-transposition_matrix-transposition-2	8	20	4	0.286	0.667	0.400
rosetta_v06_01209_Rock-paper-scissors_rock-paper-scissors-1	7	15	4	0.318	0.636	0.424
rosetta_v06_01516_Two-bullet-roulette_two-bullet-roulette	7	31	4	0.184	0.636	0.286
rosetta_v06_01385_Stem-and-leaf-plot_stem-and-leaf-plot-1	9	12	3	0.429	0.750	0.545
rosetta_v06_00209_Calculating-the-value-of-e_calculating-the-value-of-e-1	7	10	3	0.412	0.700	0.519
rosetta_v06_01508_Trigonometric-functions_trigonometric-functions	7	6	3	0.538	0.700	0.609
rosetta_v06_00285_Compiler-code-generator_compiler-code-generator	20	117	8	0.146	0.714	0.242
rosetta_v06_00501_Fibonacci-word_fibonacci-word	10	24	4	0.294	0.714	0.417
rosetta_v06_01518_UPC_upc	9	84	5	0.097	0.643	0.168
rosetta_v06_01309_Smarandache-prime-digital-sequence_smarandache-prime-digital-sequence	9	75	3	0.107	0.750	0.188
